Aqua,00FFFF,0,100,100,180
Black,000000,0,0,0,0
Blue,0000FF,0,0,100,240
Dark blue,00008B,0,0,55,240
Dark Gray,808080,50,50,50,—
Dark green,013220,0,20,13,158
Dark red,8B0000,55,0,0,0
Dark yellow,9B870C,61,53,5,295
Fuchsia,FF00FF,100,0,100,321
Purple,800080,50,0,50,300
Gray,A9A9A9,66,66,66,0
Green,00FF00,0,100,0,120
Red,FF0000,100,0,0,0
Teal,008080,0,50,50,180
White,FFFFFF,100,100,100,0
